,        Gross domestic product,Exports of goods and services and income receipts (credits),Imports of goods and services and income payments (debits),Net U.S. acquisition of financial assets excluding financial derivatives (net increase in assets / financial outflow (+)),  Direct investment assets,  Portfolio investment assets,Net U.S. incurrence of liabilities excluding financial derivatives (net increase in liabilities / financial inflow (+)),  Direct investment liabilities,  Portfolio investment liabilities
,1761.8,40868,36055,14436,4736,2393,6929,1369,3646
1976,1820.5,41183,38617,12364,3923,2467,7709,1471,4208
,1852.3,42309,40661,11701,2017,1405,8425,1086,2713
,1886.6,43818,43902,10618,3327,2751,9062,999,4940
,1934.3,44780,44617,16588,2682,2262,12644,790,4304
1977,1988.6,44916,47603,1198,1880,749,2968,980,7383
,2055.9,46796,49827,12182,3783,1784,14673,965,5935
,2118.5,47125,49882,6297,2762,2177,14585,1023,9641
,2164.3,45818,51680,15109,3466,749,20547,761,14656
1978,2202.8,48847,55867,15219,4771,1115,18461,1356,14716
,2331.6,54213,57990,5606,3720,1094,1412,2313,-3080
,2395.1,56058,59725,9703,2753,510,17390,2620,2889
,2476.9,61399,62078,30601,4812,907,29013,1608,15558
1979,2526.6,64530,64954,8980,5465,2312,3472,1554,-4543
,2591.2,68445,69136,15565,7220,1089,7379,3354,-12384
,2667.6,74411,73488,27156,7166,7170,25063,3382,8320
,2723.9,80577,80675,14353,5370,1859,4780,3588,-4895
1980,2789.8,85274,88733,13814,5188,2450,10180,3321,1918
,2797.4,83441,84382,24724,2659,4068,10994,5756,4433
,2856.5,86148,81815,19666,4156,-1240,14599,4713,6054
,2985.6,89578,87195,28761,7219,764,26263,3128,11420
1981,3124.2,94665,93702,23015,2044,4352,10303,3146,10179
,3162.5,96294,95066,24158,5709,5048,14906,5294,2859
,3260.6,95013,92932,17945,1124,2229,17212,5505,-3018
,3280.8,94958,94199,49028,745,4021,43264,11251,7489
1982,3274.3,94889,95175,36964,3324,6953,27426,2783,994
,3332,97269,93482,48631,4803,307,40873,8823,3900
,3366.3,92251,96290,28447,3997,132,23167,7749,8509
,3402.6,87347,92345,28680,7272,5003,18430,8119,6292
1983,3473.4,87500,90018,30222,2194,46,17203,2587,6264
,3578.8,88681,96513,5934,4802,490,19009,6247,6343
,3689.2,91451,104351,13394,6064,1921,21308,5261,37
,3794.7,94509,109953,25141,7785,-394,38195,4593,5738
1984,3908.1,97553,118482,12998,6497,126,27442,9520,2934
,4009.6,101945,125383,32758,9007,1141,49454,15664,7090
,4084.3,104082,127466,-12397,6110,-1311,10060,7333,6851
,4148.6,103154,129743,17380,5158,3542,39455,2313,21820
1985,4230.2,99422,122940,6693,3985,3310,18985,6115,3945
,4294.9,99074,127763,3406,5440,-258,29969,5443,18629
,4386.8,96373,127676,5751,4673,2846,37778,4815,19540
,4444.1,99250,133899,31216,7143,-2890,59815,5687,25890
1986,4507.9,101794,136004,15899,8274,4457,39391,1924,25488
,4545.3,103689,139380,24894,7247,3813,53226,5467,40202
,4607.7,102699,140748,29738,2098,1536,67611,5868,25807
,4657.6,104654,143880,36717,1902,-822,63626,17687,13000
1987,4722.2,106041,145305,-4192,10532,-1744,45652,16868,26619
,4806.2,112886,152871,28340,9143,1120,58623,10195,26289
,4884.6,118234,158364,27433,8437,1781,82434,20406,10441
,5008,125307,166588,32475,11682,6746,65153,15762,16282
1988,5073.4,136106,169059,-4722,3207,230,29694,6594,35413
,5190,141154,170051,22789,1955,-1728,73547,13077,21318
,5282.8,145117,173041,51969,9795,21,54334,15784,6121
,5399.5,150440,181827,35713,6744,6066,86432,21454,23934
1989,5511.3,157009,185501,55019,13452,3730,67336,19900,27200
,5612.5,164734,189903,8894,8378,4633,11264,16018,3097
,5695.4,164869,186919,58486,15512,10384,80333,18327,36444
,5747.2,166778,190553,60512,13631,12419,71368,21555,8111
1990,5872.7,173087,196733,-36516,11703,-117,-22165,17086,-7965
,5960,175431,194954,40343,7790,13725,44008,16913,6756
,6015.1,177812,199350,54942,29124,9996,73848,19540,9213
,6004.7,185800,200058,45215,11313,6953,66419,17709,17763
1991,6035.2,182725,172767,14139,17887,8301,11158,7644,10687
,6126.9,182206,179680,-500,1475,2976,12260,13623,24986
,6205.9,183177,187364,29031,22487,15444,45707,11778,14182
,6264.5,185569,190970,33083,7406,5332,50461,1490,22707
1992,6363.1,187786,194020,12672,21939,2723,31458,3331,20513
,6470.8,188137,200026,20972,15005,7072,54471,10654,33150
