observation_date,CPI,IP,MB,M1,M2
8/1/1988,119,63.2781,261.709,783.3,2952
9/1/1988,119.5,63.108,262.919,783.7,2956.9
10/1/1988,119.9,63.4145,264.159,783.3,2965.3
11/1/1988,120.3,63.5171,265.708,784.9,2980.2
12/1/1988,120.7,63.8207,266.117,786.7,2988.2
1/1/1989,121.2,64.0114,267.336,785.7,2991.7
2/1/1989,121.6,63.7241,265.972,783.8,2992.2
3/1/1989,122.2,63.8694,268.272,783,2999.7
4/1/1989,123.1,63.9217,269.287,779.2,3006
5/1/1989,123.7,63.4806,269.808,775,3011.6
6/1/1989,124.1,63.5122,270.697,773.5,3027.9
7/1/1989,124.5,62.9479,271.983,777.8,3052.4
8/1/1989,124.5,63.5199,271.914,779.4,3074.4
9/1/1989,124.8,63.2966,272.604,781,3092.5
10/1/1989,125.4,63.2481,274.222,786.6,3114.1
11/1/1989,125.9,63.4576,275.032,787.9,3133.3
12/1/1989,126.3,63.8477,276.953,792.9,3152.5
1/1/1990,127.5,63.4171,278.594,795.4,3166.8
2/1/1990,128,64.0517,279.376,798.1,3179.2
3/1/1990,128.6,64.3607,281.84,801.5,3190.1
4/1/1990,128.9,64.2562,285.183,806.1,3201.6
5/1/1990,129.1,64.3971,286.238,804.2,3200.6
6/1/1990,129.9,64.6064,289.273,808.8,3213.7
7/1/1990,130.5,64.5289,290.586,810.1,3224.5
8/1/1990,131.6,64.7258,293.961,815.7,3242
9/1/1990,132.5,64.8148,297.191,820.2,3254.6
10/1/1990,133.4,64.3264,298.746,819.9,3259.3
11/1/1990,133.7,63.5713,300.742,822.1,3262.6
12/1/1990,134.2,63.1589,304.07,824.7,3271.8
1/1/1991,134.7,62.8801,306.308,827.2,3287.7
2/1/1991,134.8,62.452,309.768,832.6,3304.5
3/1/1991,134.8,62.12,312.609,838.7,3321.9
4/1/1991,135.1,62.25,313.545,843.1,3332.4
5/1/1991,135.6,62.8714,315.559,848.8,3343
6/1/1991,136,63.4441,316.904,856.7,3351.9
7/1/1991,136.2,63.5106,319.196,861.6,3356.1
8/1/1991,136.6,63.5623,320.501,866.8,3355
9/1/1991,137,64.1234,322.32,869.7,3354.9
10/1/1991,137.2,64.0179,324.084,878,3360.1
11/1/1991,137.8,63.9427,326.8,887.6,3365.5
12/1/1991,138.2,63.6923,330.553,897,3372.2
1/1/1992,138.3,63.3372,331.412,910.4,3381.2
2/1/1992,138.6,63.7864,333.981,925.2,3400
3/1/1992,139.1,64.3199,337.468,936.7,3403.9
4/1/1992,139.4,64.8069,340.151,943.8,3399.7
5/1/1992,139.7,65.0202,343.243,950.6,3398.6
6/1/1992,140.1,65.0309,344.452,954.3,3393.4
7/1/1992,140.5,65.6155,347.575,963.3,3393.9
8/1/1992,140.8,65.2948,351.806,973.7,3398.8
9/1/1992,141.1,65.4461,356.183,988,3410.3
10/1/1992,141.7,65.9387,359.975,1003.7,3423.8
11/1/1992,142.1,66.2219,363.722,1015.7,3426.5
12/1/1992,142.3,66.2778,365.544,1024.9,3424.7
1/1/1993,142.8,66.565,368.084,1030.4,3419.1
2/1/1993,143.1,66.8562,371.289,1033.5,3414.5
3/1/1993,143.3,66.7661,373.391,1038.4,3411.7
4/1/1993,143.8,66.9976,376.826,1047.6,3411.3
5/1/1993,144.2,66.7645,380.84,1065.9,3436.9
6/1/1993,144.3,66.8782,384.829,1075.1,3442.4
7/1/1993,144.5,67.0843,387.72,1084.6,3442
8/1/1993,144.8,67.0144,391.204,1094.2,3445.7
9/1/1993,145,67.3337,396.451,1104.2,3452.2
10/1/1993,145.6,67.8513,400.929,1113.1,3456.7
11/1/1993,146,68.1384,402.665,1124.1,3470.1
12/1/1993,146.3,68.5029,405.32,1129.6,3474.5
1/1/1994,146.3,68.7602,409.033,1131.6,3474.9
2/1/1994,146.7,68.7808,413.183,1136.3,3475.7
3/1/1994,147.1,69.4762,415.647,1140.1,3480.1
4/1/1994,147.2,69.8715,418.864,1141.1,3481.3
5/1/1994,147.5,70.2259,420.63,1143.3,3490.8
6/1/1994,147.9,70.6759,423.468,1145.2,3479.5
7/1/1994,148.4,70.7851,427.291,1150.7,3488.2
8/1/1994,149,71.2069,428.248,1150.6,3485.7
9/1/1994,149.3,71.4768,430.036,1151.9,3486.1
10/1/1994,149.4,72.0827,432.825,1150.2,3484.3
11/1/1994,149.8,72.5328,434.594,1150.9,3487.2
12/1/1994,150.1,73.2862,434.788,1150.7,3486.4
1/1/1995,150.5,73.4173,437.433,1151.4,3492.4
2/1/1995,150.9,73.3112,438.536,1147.4,3489.9
3/1/1995,151.2,73.4086,442.55,1146.7,3491.1
4/1/1995,151.8,73.3603,445.738,1149.3,3499.2
