xDatex,PUS,PMX,RUS,RMX
Jun-91,136,10.516648000000,5.90,21.79
Jul-91,136.2,10.609584000000,5.82,20.99
Aug-91,136.6,10.683423000000,5.66,20.55
Sep-91,137,10.789850000000,5.45,21.72
Oct-91,137.2,10.915343000000,5.21,21.29
Nov-91,137.8,11.186374000000,4.81,20.52
Dec-91,138.2,11.449680000000,4.43,19.95
Jan-92,138.3,11.657778000000,4.03,18.98
Feb-92,138.6,11.795900000000,4.06,18.22
Mar-92,139.1,11.915948000000,3.98,16.60
Apr-92,139.4,12.022171000000,3.73,15.75
May-92,139.7,12.101438000000,3.82,15.56
Jun-92,140.1,12.183345000000,3.76,16.01
Jul-92,140.5,12.260272000000,3.25,18.07
Aug-92,140.8,12.335592000000,3.30,19.54
Sep-92,141.1,12.442897000000,3.22,20.16
Oct-92,141.7,12.532494000000,3.10,21.86
Nov-92,142.1,12.636620000000,3.09,21.79
Dec-92,142.3,12.816553000000,2.92,22.76
Jan-93,142.8,12.977320000000,3.02,22.79
Feb-93,143.1,13.083345000000,3.03,22.72
Mar-93,143.3,13.159594000000,3.07,21.31
Apr-93,143.8,13.235480000000,2.96,20.16
May-93,144.2,13.311137000000,3.00,19.75
Jun-93,144.3,13.385797000000,3.04,18.68
Jul-93,144.5,13.450123000000,3.06,17.36
Aug-93,144.8,13.522112000000,3.03,16.91
Sep-93,145,13.622261000000,3.09,16.18
Oct-93,145.6,13.677973000000,2.99,15.57
Nov-93,146,13.738302000000,3.02,16.62
Dec-93,146.3,13.843055000000,2.96,14.68
Jan-94,146.3,13.950375000000,3.05,13.22
Feb-94,146.7,14.022124000000,3.25,11.96
Mar-94,147.1,14.094225000000,3.34,11.53
Apr-94,147.2,14.163251000000,3.56,14.16
May-94,147.5,14.231682000000,4.01,17.03
Jun-94,147.9,14.302895000000,4.25,17.18
Jul-94,148.4,14.366327000000,4.26,17.82
Aug-94,149,14.433287000000,4.47,17.16
Sep-94,149.3,14.535937000000,4.73,16.73
Oct-94,149.4,14.612245000000,4.76,15.96
Nov-94,149.8,14.690361000000,5.29,16.34
Dec-94,150.1,14.819204000000,5.45,16.96
Jan-95,150.5,15.376991000000,5.53,29.87
Feb-95,150.9,16.028707000000,5.92,35.98
Mar-95,151.2,16.973617000000,5.98,56.82
Apr-95,151.8,18.326133000000,6.05,70.26
May-95,152.1,19.092090000000,6.01,57.86
Jun-95,152.4,19.698024000000,6.00,46.39
Jul-95,152.6,20.099588000000,5.85,41.42
Aug-95,152.9,20.432981000000,5.74,37.10
Sep-95,153.1,20.855643000000,5.80,34.61
Oct-95,153.5,21.284762000000,5.76,37.08
Nov-95,153.7,21.809608000000,5.80,47.54
Dec-95,153.9,22.520167000000,5.60,46.54
Jan-96,154.7,23.329754000000,5.56,40.18
Feb-96,155,23.874262000000,5.22,35.91
Mar-96,155.5,24.399826000000,5.31,39.12
Apr-96,156.1,25.093450000000,5.22,35.21
May-96,156.4,25.550842000000,5.24,29.38
Jun-96,156.7,25.966902000000,5.27,27.05
Jul-96,157,26.336031000000,5.40,29.18
Aug-96,157.2,26.686072000000,5.22,27.52
Sep-96,157.7,27.112751000000,5.30,24.92
Oct-96,158.2,27.451168000000,5.24,25.04
Nov-96,158.7,27.867083000000,5.31,28.03
Dec-96,159.1,28.759336000000,5.29,26.97
Jan-97,159.4,29.498886000000,5.25,24.08
Feb-97,159.7,29.994598000000,5.19,21.06
Mar-97,159.8,30.367889000000,5.39,21.10
Apr-97,159.9,30.695972000000,5.51,21.07
May-97,159.9,30.976119000000,5.50,18.73
Jun-97,160.2,31.250957000000,5.56,18.78
Jul-97,160.4,31.523211000000,5.52,18.05
Aug-97,160.8,31.803502000000,5.54,17.34
Sep-97,161.2,32.199613000000,5.54,17.18
